ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
11034701,JA366925,1/1/2001 11:00,016XX E 86TH PL,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,RESIDENCE,FALSE,FALSE,412,4,8,45,11,,,2001,8/5/2017 15:50,,,
11227287,JB147188,10/8/2017 3:00,092XX S RACINE AVE,281,CRIM SEXUAL ASSAULT,NON-AGGRAVATED,RESIDENCE,FALSE,FALSE,2222,22,21,73,2,,,2017,2/11/2018 15:57,,,
11227583,JB147595,3/28/2017 14:00,026XX W 79TH ST,620,BURGLARY,UNLAWFUL ENTRY,OTHER,FALSE,FALSE,835,8,18,70,5,,,2017,2/11/2018 15:57,,,
11227293,JB147230,9/9/2017 20:17,060XX S EBERHART AVE,810,THEFT,OVER $500,RESIDENCE,FALSE,FALSE,313,3,20,42,6,,,2017,2/11/2018 15:57,,,
11227634,JB147599,8/26/2017 10:00,001XX W RANDOLPH ST,281,CRIM SEXUAL ASSAULT,NON-AGGRAVATED,HOTEL/MOTEL,FALSE,FALSE,122,1,42,32,2,,,2017,2/11/2018 15:57,,,
11227517,JB138481,2/10/2013 0:00,071XX S LAFAYETTE AVE,266,CRIM SEXUAL ASSAULT,PREDATORY,RESIDENCE,FALSE,FALSE,731,7,6,69,2,,,2013,2/11/2018 15:57,,,
11227503,JB146383,1/1/2015 0:01,061XX S KILBOURN AVE,1751,OFFENSE INVOLVING CHILDREN,CRIM SEX ABUSE BY FAM MEMBER,RESIDENCE,FALSE,TRUE,813,8,13,65,17,,,2015,4/12/2019 16:00,,,
11227508,JB146365,1/1/2017 0:01,027XX S WHIPPLE ST,1754,OFFENSE INVOLVING CHILDREN,AGG SEX ASSLT OF CHILD FAM MBR,RESIDENCE,FALSE,FALSE,1033,10,12,30,2,,,2017,2/11/2018 15:57,,,
11022695,JA353568,7/17/2017 10:10,021XX W MC LEAN AVE,810,THEFT,OVER $500,RESIDENCE,FALSE,FALSE,1432,14,32,22,6,,,2017,7/24/2017 15:54,,,
11227633,JB147500,12/28/2017 15:55,011XX S MICHIGAN AVE,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,,FALSE,FALSE,123,1,2,32,11,,,2017,2/11/2018 15:57,,,
